copilot_item,nst_skill_id,nst_prefLabel
Conduct initial antenatal assessment,,
Monitor maternal vital signs,,
Perform abdominal palpation,,
Assess fetal growth and position,,
Order and interpret antenatal screening tests,,
Provide antenatal education,,
Screen for gestational diabetes,,
Monitor weight and nutrition,,
Assess psychosocial wellbeing,,
Document antenatal visits,,
Intrapartum Care,,
Provide labour support,,
Monitor fetal heart rate,,
Conduct vaginal examinations,,
Administer pain relief under protocol,,
Assist with normal vaginal delivery,,
Manage third stage of labour,,
Recognise and escalate obstetric emergencies,,
Support partner involvement,,
Document intrapartum care,,
Coordinate transfer to higher-level care,,
Postnatal Care,sk110258,Postnatal Care Strategy
Conduct postnatal checks for mother,,
Monitor uterine involution,,
Assess lochia and wound healing,,
Provide breastfeeding support,,
Screen for postnatal depression,,
Educate on contraception options,,
Support parenting skills,,
Monitor maternal nutrition,,
Document postnatal visits,,
Coordinate referrals for specialist care,,
Neonatal Care,,
Perform newborn physical examination,,
Monitor neonatal vital signs,,
Support breastfeeding initiation,,
Educate on safe sleeping practices,,
Monitor weight and growth,,
Screen for neonatal jaundice,,
Administer neonatal immunisations,,
Support bonding and attachment,,
Document neonatal assessments,,
Refer for specialist neonatal care,,
Assessment & Screening,,
Conduct maternal mental health screening,,
Screen for domestic violence,,
Assess social determinants of health,,
Perform urine dipstick tests,,
"Interpret blood results (Hb, glucose)",,
Screen for infections (STIs),,
Assess immunisation status,,
Monitor blood pressure trends,,
Evaluate fetal movements,,
Document screening outcomes,,
Clinical Procedures,,
"Administer injections (IM, SC)",,
Insert urinary catheter,,
Perform venepuncture,,
Apply perineal sutures,,
Manage IV fluids,,
Assist with minor surgical procedures,,
Monitor infusion pumps,,
Perform neonatal heel prick tests,,
Apply compression bandages,,
Maintain aseptic technique,,
Medication Management,sk110344,Medication Infection Control Management
Administer prescribed medications,,
Monitor medication side effects,,
Educate on medication adherence,,
Manage cold chain for vaccines,,
Document medication administration,,
Supply medications under standing orders,,
Assist with medication reconciliation,,
Prescribe under midwife prescribing rights,,
Monitor analgesia use in labour,,
Educate on safe medication use in pregnancy,,
Health Promotion & Education,sk055016,Child Health Promotion Education
Provide antenatal education sessions,,
Educate on breastfeeding techniques,,
Promote healthy eating during pregnancy,,
Educate on exercise in pregnancy,,
Provide contraception education,,
Educate on safe sleeping for infants,,
Promote immunisation uptake,,
Provide culturally safe health education,,
Conduct group parenting classes,,
Develop educational resources,,
Mental Health Support,sk057396,Mental Health Recovery Support
Screen for perinatal depression,,
Provide emotional support during pregnancy,,
Facilitate referral to mental health services,,
Support culturally safe mental health care,,
Educate on stress management techniques,,
Assist with crisis intervention referrals,,
Coordinate care for clients with complex needs,,
Promote mental health awareness in community,,
Provide counselling under supervision,,
Document mental health interventions,,
Care Planning & Coordination,sk108917,Care Coordination
Develop multidisciplinary care plans,,
Coordinate with GPs and specialists,,
Case conferencing participation,,
Referral to allied health professionals,,
Discharge planning from hospital,,
Documentation in shared health records,,
Telehealth follow-up coordination,,
Escalation protocols for red flags,,
Community resource linkage,,
NDIS plan contribution,,
Digital Health & Telehealth,,
Provide telehealth consultations,,
Use electronic health records,,
Develop digital health education resources,,
Participate in virtual MDT meetings,,
Implement remote monitoring tools,,
Research & Quality Improvement,,
Collect outcome measures,,
Audit clinical practice,,
Participate in research projects,,
Publish in peer-reviewed journals,,
Present at conferences,,
Implement evidence-based guidelines,,
Quality improvement initiatives,,
Mentor students in research,,
Data analysis for service improvement,,
Develop clinical protocols,,
Leadership & Governance,,
Lead midwifery teams,,
Manage clinical risk,,
Contribute to accreditation processes,,
Participate in policy development,,
Chair clinical meetings,,
Support change management,,
Mentor junior staff,,
Ensure compliance with regulations,,
Advocate for maternity services,,
Lead health initiatives,,
Educate patients on medication use,,
Manage medication storage and cold chain,,
Prepare medications for administration,,
Controlled drug administration under protocol,,
Document medication administration accurately,,
Chronic Disease Management,sk109806,Chronic Disease Referral Management
Support diabetes management plans,,
Monitor blood pressure for hypertension,,
Assist with asthma and COPD management,,
Provide lifestyle modification support,,
Coordinate care for cardiovascular disease,,
Support cancer care pathways,,
Assist with renal health monitoring,,
Monitor weight and BMI for obesity,,
Educate on self-management strategies,,
Participate in multidisciplinary chronic disease clinics,,
Deliver health education sessions,,
Promote healthy eating and physical activity,,
Provide smoking cessation advice,,
Conduct group education programs,,
Develop patient education materials,,
Promote immunisation programs,,
Educate on infection prevention,,
Support mental health awareness,,
Health promotion in schools,,
Maternal & Child Health,,
Support antenatal care programs,,
Provide breastfeeding education,,
Monitor child growth and development,,
Support immunisation for children,,
Assist with postnatal care,,
Support parenting programs,,
Provide nutrition advice for infants,,
Monitor maternal health indicators,,
Coordinate referrals for specialist maternal care,,
Provide mental health first aid,,
Support clients with anxiety and depression,,
Assist with counselling sessions under supervision,,
Facilitate access to psychological services,,
Monitor medication adherence for mental health,,
Support culturally safe mental health programs,,
Provide education on stress management,,
Lead nursing teams,,
Advocate for nursing services,,
Comprehensive lower-limb history & physical exam,,
"Neurological screening (monofilament, vibration)",,
"Peripheral vascular assessment (pulses, ABI)",,
"Biomechanical assessment (gait, ROM)",,
Footwear assessment & advice,,
Wound assessment & classification,,
"Infection assessment (soft tissue, bone)",,
Risk stratification for ulceration/amputation,,
"Nail pathology diagnosis (onychomycosis, ingrown)",,
Skin integrity evaluation,,
Dermatology & Skin/Nail Care,,
Debridement of callus/corns,,
Management of plantar warts,,
Conservative ingrown toenail care,,
Fungal nail management,,
Skin infection recognition & referral,,
Pressure redistribution advice,,
Minor foreign body removal,,
Topical pharmacotherapy recommendation,,
Patient self-care education,,
"Skin integrity care (dry skin, fissures)",,
Biomechanics & Orthoses,,
Prescribe prefabricated orthoses,,
Design custom foot orthoses,,
Footwear prescription (medical grade),,
Exercise therapy for MSK conditions,,
Strapping/taping techniques,,
Heel pain management (plantar fasciitis),,
Tendinopathy management,,
Post-op rehabilitation (foot/ankle),,
Gait retraining & orthotic review,,
Return-to-sport planning,,
Wound Care & Ulcer Management,,
Sharp debridement of non-ischemic ulcers,,
Selection of wound dressings,,
Offloading for plantar ulcers,,
Escalation for suspected osteomyelitis,,
Wound swabbing & culture referral,,
Peripheral artery disease screening & referral,,
Charcot neuro-osteoarthropathy recognition,,
Aseptic technique in wound care,,
Multidisciplinary case conferencing,,
Antimicrobial stewardship participation,,
Diabetes & High-Risk Foot,,
Annual diabetes foot screening,,
Education on self-monitoring & risk,,
Footwear & offloading prescription for risk,,
Neuropathy symptom management & referral,,
Vasculopathy monitoring & urgent referral,,
Nail & skin care for high-risk patients,,
Ulcer prevention programs in GP practice,,
Telehealth review for stable risk,,
Hospital avoidance via early escalation,,
Aged care high-risk foot clinics,,
Procedures & Minor Surgery,,
Partial/total nail avulsion,,
Phenol matrixectomy,,
Local anaesthetic administration,,
Simple incision & drainage (paronychia),,
Haemostasis & dressing post-procedure,,
Sterilisation & instrument reprocessing,,
Consent & procedural risk discussion,,
Analgesia guidance & GP liaison,,
Post-op follow-up & complication management,,
Referral for advanced surgical care,,
Pharmacology & Medicines,,
Use of local anaesthetics for procedures,,
Supply/prescribe S2/S3/S4 medicines (endorsed),,
Antibiotic prescribing for foot infections (endorsed),,
Analgesic prescribing (endorsed),,
Adrenaline access for anaphylaxis,,
Prescribing governance & supervised practice,,
National Prescribing Competencies adherence,,
Prescription documentation & templates,,
State drugs & poisons compliance,,
PBS access (policy advocacy context),,
Comprehensive patient assessment,,
"Vital signs monitoring (BP, HR, RR, Temp)",,
Pain assessment and scoring,,
Neurological assessment (GCS),,
Cardiac assessment (ECG interpretation),,
"Respiratory assessment (lung sounds, SpO2)",,
Risk stratification for acute illness,,
Falls risk assessment,,
Mental health screening,,
Sepsis screening,,
Emergency Care & Stabilisation,,
Basic life support and CPR,,
Advanced life support (ALS),,
Airway management (OPA/NPA),,
Bag-valve-mask ventilation,,
Defibrillation and AED use,,
Management of anaphylaxis,,
Control of external haemorrhage,,
Fracture immobilisation,,
Spinal immobilisation,,
Assist with advanced airway procedures,,
Venepuncture and specimen collection,,
Cannulation for IV access,,
ECG recording and interpretation,,
Urinary catheterisation,,
Wound care and dressing,,
Application of splints and bandages,,
Oxygen therapy administration,,
Nebuliser therapy,,
Blood glucose monitoring,,
Medication Administration,sk111840,Medication Administration Route Evaluation
Administer oral medications,,
"Administer injectable medications (IM, SC)",,
"Administer emergency medications (e.g., adrenaline)",,
Administer IV medications,,
Maintain medication cold chain,,
Lead paramedic practitioner teams,,
Advocate for paramedic services,,
Conduct comprehensive nutrition assessment,,
Review medical history and medications,,
Assess dietary intake and eating patterns,,
"Anthropometric measurements (weight, BMI, waist circumference)",,
"Biochemical data interpretation (bloods, labs)",,
Nutrition-focused physical examination,,
Malnutrition screening,,
Food allergy/intolerance assessment,,
Assessing hydration status,,
Assessing nutrition risk in special populations,,
Medical Nutrition Therapy,,
Develop individualised nutrition care plans,,
"Prescribe therapeutic diets (diabetes, renal, cardiac, GI)",,
Nutrition intervention for chronic disease management,,
"Nutrition support (oral, enteral, parenteral)",,
Monitor and evaluate nutrition interventions,,
Adjust care plans based on progress,,
Manage food allergies and intolerances,,
Support weight management (loss/gain),,
Nutrition intervention for eating disorders,,
Nutrition support for oncology patients,,
Nutrition Education & Counselling,,
Provide individual nutrition counselling,,
Deliver group education sessions,,
"Develop educational resources (handouts, guides)",,
Conduct supermarket tours/cooking classes,,
Health coaching/motivational interviewing,,
Support behaviour change for healthy eating,,
Provide culturally safe nutrition education,,
Deliver education for chronic disease prevention,,
Educate on food safety and hygiene,,
Educate on label reading and food choices,,
Food Service & Menu Planning,,
Assess and plan menus for institutions,,
Monitor compliance with therapeutic diets,,
Conduct food service audits,,
Train staff in food service and nutrition,,
Develop policies for food safety and nutrition,,
Advise on procurement and supply chain for nutrition,,
Menu development for special populations,,
Public Health & Community Nutrition,,
Develop and implement public health nutrition programs,,
Conduct community needs assessments,,
Advocate for healthy food environments,,
Develop policies for food security,,
Deliver population-level nutrition education,,
Collaborate with government/non-government organisations,,
Conduct research and evaluation of programs,,
Support healthy eating in schools/early childhood,,
Develop and implement food policy,,
Lead community nutrition initiatives,,
Conduct nutrition research,,
Participate in clinical trials,,
Collect and analyse nutrition data,,
Implement evidence-based practice,,
Quality improvement in nutrition services,,
Present findings at conferences,,
Develop clinical guidelines,,
Lead multidisciplinary teams,,
Mentor junior staff and students,,
Deliver telehealth nutrition consultations,,
Use electronic health records for documentation,,
Develop digital nutrition resources,,
Support digital health initiatives,,
Specialised Practice Areas,,
Diabetes education and management,,
Cardiovascular disease nutrition management,,
Renal nutrition management,,
Oncology nutrition management,,
Paediatric nutrition management,,
Gastrointestinal nutrition management,,
Food allergy/intolerance management,,
Nutrition for disability,,
Nutrition for aged care,,
Nutrition for pregnancy/lactation,,
Comprehensive musculoskeletal assessment,,
"Neurological screening (reflexes, sensation)",,
"Cardiorespiratory assessment (breathing patterns, auscultation)",,
Postural analysis,,
Functional movement screening,,
Pain assessment and outcome measures,,
Gait analysis,,
Balance and coordination testing,,
Range of motion and strength testing,,
Treatment & Rehabilitation,,
Develop individualised treatment plans,,
Progressive exercise programs,,
Post-surgical rehabilitation,,
"Chronic disease management (arthritis, COPD)",,
"Neurological rehabilitation (stroke, MS)",,
Cardiac rehabilitation,,
Pulmonary rehabilitation,,
Paediatric rehabilitation,,
Geriatric rehabilitation,,
Return-to-work programs,,
Manual Therapy,,
Joint mobilisation,,
Soft tissue massage,,
Trigger point therapy,,
Myofascial release,,
Manipulation techniques,,
Scar tissue management,,
Manual lymphatic drainage,,
Passive stretching,,
Joint traction techniques,,
Pain-relieving manual techniques,,
Exercise Prescription,sk209556,Client Exercise Prescription
Strength training programs,,
Flexibility and stretching routines,,
Balance and proprioception exercises,,
Aerobic conditioning,,
Functional exercise for ADLs,,
Sports-specific conditioning,,
Pilates-based rehabilitation,,
Hydrotherapy programs,,
Group exercise classes,,
Home exercise program development,,
Pain Management,sk112961,Pain Treatment Planning Management
Education on pain neuroscience,,
Application of heat/cold therapy,,
"Electrotherapy (TENS, ultrasound)",,
Dry needling,,
Kinesio taping,,
Pain coping strategies,,
Relaxation and breathing techniques,,
Acupuncture,,
Education on posture and ergonomics,,
Self-management strategies for chronic pain,,
Education & Prevention,,
Patient education on condition and recovery,,
Workplace ergonomics training,,
Falls prevention programs,,
Injury prevention workshops,,
Health promotion talks,,
Lifestyle modification counselling,,
Culturally safe care education,,
Exercise adherence strategies,,
Education for carers and families,,
Community outreach programs,,
Sports physiotherapy interventions,,
Paediatric physiotherapy care,,
Neurological physiotherapy,,
Cardiorespiratory physiotherapy,,
Women's health physiotherapy,,
Geriatric physiotherapy,,
Hand therapy,,
Persistent pain programs,,
Vestibular rehabilitation,,
Amputee rehabilitation,,
Lead physiotherapy teams,,
Advocate for physiotherapy services,,
Develop digital exercise programs,,
Conduct comprehensive health and fitness assessment,,
"Cardiorespiratory fitness testing (e.g., VO2 max)",,
"Musculoskeletal screening (strength, flexibility)",,
Functional movement assessment,,
Risk stratification for exercise participation,,
"Anthropometric measurements (BMI, waist circumference)",,
Blood pressure and heart rate monitoring,,
"Pre-exercise screening (e.g., PAR-Q)",,
Develop individualised exercise programs,,
Prescribe aerobic exercise,,
Prescribe resistance training,,
Prescribe flexibility and mobility exercises,,
Prescribe balance and proprioception exercises,,
Progressive overload programming,,
Group exercise program design,,
Exercise prescription for chronic conditions,,
Exercise prescription for mental health,,
Exercise for diabetes management,,
Exercise for cardiovascular disease,,
"Exercise for pulmonary conditions (COPD, asthma)",,
Exercise for cancer rehabilitation,,
Exercise for musculoskeletal disorders (arthritis),,
"Exercise for neurological conditions (MS, Parkinson’s)",,
Exercise for obesity and weight management,,
Exercise for mental health conditions,,
Exercise for metabolic syndrome,,
Exercise for osteoporosis prevention and management,,
Rehabilitation,,
Post-surgical exercise rehabilitation,,
Return-to-work conditioning,,
Sports injury rehabilitation,,
Functional restoration programs,,
Neurological rehabilitation,,
Work conditioning and hardening,,
Amputee rehabilitation support,,
Education & Behaviour Change,,
Provide education on exercise benefits,,
Motivational interviewing for behaviour change,,
Conduct group education sessions,,
Health coaching for lifestyle modification,,
Culturally safe education delivery,,
Promote physical activity in community,,
Support adherence to exercise programs,,
Deliver workplace wellness programs,,
Special Populations,,
Exercise for pregnancy and postpartum,,
Exercise for paediatrics,,
Exercise for older adults,,
Exercise for disability,,
Exercise for Indigenous populations,,
Exercise for elite athletes,,
Exercise for mental health recovery,,
Exercise for chronic pain,,
Exercise for cancer survivors,,
Exercise for cardiac patients,,
Lead exercise physiology teams,,
Advocate for exercise physiology services,,
Comprehensive speech and language assessment,,
Voice assessment,,
Fluency assessment (stuttering),,
Swallowing assessment (clinical),,
"Instrumental swallowing assessment (VFSS, FEES)",,
Cognitive-communication assessment,,
AAC needs assessment,,
Voice quality analysis,,
Speech sound disorder assessment,,
Language comprehension and expression assessment,,
Communication Disorders Management,sk188153,Communication Aid Management
Develop individualised therapy plans,,
Articulation therapy,,
Language intervention for children,,
Language intervention for adults,,
Social communication skills training,,
Cognitive-communication therapy,,
AAC implementation and training,,
Voice therapy for dysphonia,,
Fluency shaping techniques,,
Communication partner training,,
Swallowing Disorders Management,,
Safe swallowing strategies education,,
Texture modification advice,,
Compensatory swallowing techniques,,
Oral motor exercises for swallowing,,
Postural adjustments for swallowing safety,,
Dietary recommendations for dysphagia,,
Swallowing rehabilitation post-stroke,,
Instrumental assessment interpretation,,
Collaborate with dietitians for nutrition,,
Develop mealtime management plans,,
Voice Therapy,,
Voice therapy for vocal nodules,,
Resonant voice therapy,,
Breath support training,,
Voice therapy for transgender clients,,
Voice therapy for neurological conditions,,
Education on vocal hygiene,,
Voice therapy for professional voice users,,
Pitch and loudness modification,,
Voice therapy for post-surgical patients,,
Collaborate with ENT specialists,,
Fluency Disorders,,
Stuttering modification techniques,,
Fluency shaping programs,,
Parent training for early stuttering,,
Support groups facilitation,,
Telehealth fluency therapy,,
Intensive fluency programs,,
Counselling for fluency disorders,,
Collaborate with psychologists for anxiety,,
Fluency assessment for bilingual clients,,
Develop home practice programs,,
AAC (Augmentative & Alternative Communication),,
Assessment for AAC device needs,,
Training clients in AAC use,,
Customising AAC systems,,
Collaborate with occupational therapists for access,,
Support for high-tech AAC devices,,
Develop low-tech AAC solutions,,
Family and caregiver AAC training,,
Troubleshooting AAC devices,,
Advocate for AAC funding,,
Integrate AAC into education plans,,
Education & Counselling,,
Educate families on communication strategies,,
Provide counselling for communication disorders,,
Develop educational materials,,
Conduct workshops for teachers,,
Community education on speech disorders,,
Education for aged care staff,,
Collaborate with multidisciplinary teams for education,,
Paediatric speech and language therapy,,
Adult acquired communication disorders,,
Speech therapy for neurological conditions,,
Communication support for dementia,,
Speech therapy for head and neck cancer,,
Speech therapy for intellectual disability,,
Speech therapy for autism spectrum disorder,,
Speech therapy for mental health conditions,,
Speech therapy for bilingual clients,,
Lead speech pathology teams,,
Advocate for speech pathology services,,
Develop digital therapy resources,,
Comprehensive psychological assessment,,
Clinical interview,,
Mental status examination,,
Diagnostic formulation using DSM-5/ICD-10,,
"Risk assessment (suicide, harm)",,
"Cognitive assessment (memory, attention)",,
Personality assessment,,
Neuropsychological screening,,
Behavioural observation,,
Psychometric testing (validated tools),,
Psychological Interventions,,
Cognitive Behavioural Therapy (CBT),,
Acceptance and Commitment Therapy (ACT),,
Dialectical Behaviour Therapy (DBT),,
Schema Therapy,,
Solution-Focused Brief Therapy,,
Interpersonal Therapy (IPT),,
Mindfulness-based interventions,,
Exposure therapy for anxiety disorders,,
Behavioural activation for depression,,
Trauma-focused therapy,,
Behavioural Therapies,,
Behaviour modification techniques,,
Parent training for child behaviour issues,,
Social skills training,,
Anger management programs,,
Habit reversal training,,
Behavioural therapy for ADHD,,
Behavioural therapy for autism spectrum disorder,,
Sleep hygiene interventions,,
Impulse control strategies,,
Behavioural therapy for eating disorders,,
Crisis Management,sk169056,Crisis Incident Reporting Management
Suicide prevention interventions,,
Crisis counselling,,
Safety planning for high-risk clients,,
Emergency referral coordination,,
Acute stress management,,
Post-trauma debriefing,,
Family crisis intervention,,
Collaborate with emergency services,,
Domestic violence risk management,,
Child protection reporting,,
Psychoeducation for clients,,
Family counselling,,
Couples therapy,,
Parenting support programs,,
Stress management workshops,,
Workplace mental health education,,
Child and adolescent therapy,,
Geriatric mental health interventions,,
Therapy for intellectual disability,,
Therapy for autism spectrum disorder,,
Therapy for LGBTQ+ clients,,
Therapy for trauma survivors,,
Therapy for eating disorders,,
Therapy for substance use disorders,,
Therapy for chronic illness adjustment,,
Therapy for workplace stress,,
Lead psychology teams,,
Advocate for mental health services,,
Conduct comprehensive health checks,,
Blood glucose testing,,
Risk assessment for chronic disease,,
Ear health screening,,
Eye health screening,,
Sexual health screening,,
Alcohol and drug use screening,,
Clinical Care & Procedures,,
Administer medications under protocol,,
Vaccination support and administration,,
"Specimen collection (blood, urine)",,
Point-of-care testing,,
Assist with minor procedures,,
Prepare and sterilise instruments,,
Monitor vital signs,,
Document clinical observations,,
Deliver culturally safe health education,,
Educate on chronic disease prevention,,
Develop culturally appropriate resources,,
Assist with cardiovascular disease management,,
"Monitor respiratory conditions (asthma, COPD)",,
Assist with renal health programs,,
Coordinate medication reviews,,
Assist with foot care for diabetes,,
Support adherence to care plans,,
Cultural Safety & Advocacy,,
Ensure culturally safe care delivery,,
Advocate for Aboriginal and Torres Strait Islander health needs,,
Support clients navigating health systems,,
Provide cultural education to health teams,,
Promote traditional healing practices integration,,
Facilitate community engagement,,
Support culturally appropriate mental health care,,
Advocate for language services,,
Assist with cultural protocols in care planning,,
Promote cultural safety in policy development,,
Lead health practitioner teams,,
Advocate for Aboriginal and Torres Strait Islander health services,,
Comprehensive music therapy assessment,,
Psychosocial assessment using music-based tools,,
Cognitive and emotional functioning assessment,,
Behavioural observation during music activities,,
Communication skills assessment,,
Motor skills assessment through rhythmic tasks,,
Pain and stress level assessment,,
Cultural and musical background assessment,,
Assessment for group therapy suitability,,
Goal setting with client and family,,
Music-Based Interventions,,
Individual music therapy sessions,,
Group music therapy sessions,,
Songwriting for emotional expression,,
Improvisation techniques,,
Music listening for relaxation,,
Instrumental play for motor skills,,
Music and movement activities,,
Therapeutic singing,,
Music-assisted communication,,
Music for pain management,,
Therapeutic Techniques,,
Guided imagery and music,,
Neurologic music therapy techniques,,
Music therapy for trauma recovery,,
Music therapy for mental health disorders,,
Music therapy for dementia care,,
Music therapy for autism spectrum disorder,,
Music therapy for speech and language support,,
Music therapy for physical rehabilitation,,
Music therapy for grief and loss,,
Music therapy for anxiety and depression,,
Facilitate emotional expression through music,,
Support coping strategies using music,,
Reduce stress and anxiety through music listening,,
Promote mindfulness through music,,
Support trauma-informed care with music,,
Collaborate with psychologists for integrated care,,
Facilitate group therapy for mental health,,
Music therapy for mood regulation,,
Support recovery from substance use disorders,,
Music therapy for PTSD symptoms,,
Rehabilitation & Special Populations,,
Music therapy for stroke rehabilitation,,
Music therapy for Parkinson’s disease,,
Music therapy for developmental delays,,
Music therapy for intellectual disability,,
Music therapy for aged care residents,,
Music therapy for palliative care,,
Music therapy for chronic pain management,,
Music therapy for speech rehabilitation,,
Music therapy for motor coordination,,
Music therapy for sensory integration,,
Educate families on benefits of music therapy,,
Provide counselling through music-based approaches,,
Develop educational resources for clients,,
Conduct workshops for carers and staff,,
Promote music therapy in schools,,
Health promotion talks using music,,
Support culturally safe education delivery,,
Facilitate community engagement through music,,
Provide stress management education,,
Ensure culturally safe music therapy practices,,
Incorporate traditional music in therapy,,
Advocate for music therapy services,,
Facilitate community engagement through cultural music,,
Collaborate with Indigenous health practitioners,,
Advocate for funding for culturally relevant programs,,
Support language and cultural protocols in therapy,,
Lead music therapy teams,,
Provide telehealth music therapy sessions,,
Develop digital music therapy resources,,
